code,name,tdate,open,close,high,low,cjl
9999,网易-S,2020-7-2,129.852,131.152,132.252,128.452,8075910
9999,网易-S,2020-7-3,130.352,130.052,131.252,128.952,4726960
9999,网易-S,2020-7-6,132.252,132.252,132.252,130.052,6703480
9999,网易-S,2020-7-7,133.252,132.252,133.752,131.452,4713000
9999,网易-S,2020-7-8,133.252,136.652,137.152,133.252,7367710
9999,网易-S,2020-7-9,138.152,150.752,163.252,138.152,2.07E+07
9999,网易-S,2020-7-10,148.252,148.752,155.652,145.252,1.26E+07
9999,网易-S,2020-7-13,147.852,146.952,149.952,143.452,9414900
9999,网易-S,2020-7-14,141.252,143.252,144.252,139.352,8220340
9999,网易-S,2020-7-15,145.152,145.152,147.752,141.252,5150100
9999,网易-S,2020-7-16,143.152,138.752,143.252,136.252,7913320
9999,网易-S,2020-7-17,135.952,136.752,139.352,135.552,5936280
9999,网易-S,2020-7-20,137.952,137.552,138.752,134.152,2953300
9999,网易-S,2020-7-21,141.752,145.352,146.052,141.452,7051310
9999,网易-S,2020-7-22,144.152,141.252,145.252,139.852,3890360
9999,网易-S,2020-7-23,141.252,141.952,142.552,137.152,3676760
9999,网易-S,2020-7-24,137.952,136.352,138.752,134.352,6961530
9999,网易-S,2020-7-27,135.252,135.052,136.052,131.252,4654500
9999,网易-S,2020-7-28,137.052,137.952,138.252,135.752,3018300
9999,网易-S,2020-7-29,136.352,137.152,137.952,135.252,2474360
9999,网易-S,2020-7-30,137.252,136.052,137.852,134.452,3035000
9999,网易-S,2020-7-31,136.252,137.052,137.852,135.352,1839580
9999,网易-S,2020-8-3,137.552,140.052,141.352,136.852,3525280
9999,网易-S,2020-8-4,142.452,143.252,143.752,140.652,3215020
9999,网易-S,2020-8-5,144.052,146.252,146.552,143.652,3167120
9999,网易-S,2020-8-6,148.252,146.252,148.252,142.352,4096920
9999,网易-S,2020-8-7,147.252,143.752,147.252,138.752,8645190
9999,网易-S,2020-8-10,141.752,140.552,141.752,136.952,5522980
9999,网易-S,2020-8-11,139.052,139.252,141.552,138.752,3939490
9999,网易-S,2020-8-12,138.752,139.152,140.052,135.552,3834650
9999,网易-S,2020-8-13,143.952,144.252,145.252,142.052,4651860
9999,网易-S,2020-8-14,140.652,140.752,141.752,138.052,4226640
9999,网易-S,2020-8-17,139.852,139.552,140.452,137.852,2689390
9999,网易-S,2020-8-18,143.252,143.852,143.952,142.252,4254500
9999,网易-S,2020-8-19,144.252,143.852,146.252,139.252,4802300
9999,网易-S,2020-8-20,145.952,144.152,145.952,142.052,2445020
9999,网易-S,2020-8-21,144.652,146.252,146.252,143.352,3972880
9999,网易-S,2020-8-24,148.152,150.152,150.752,146.852,7722260
9999,网易-S,2020-8-25,148.852,151.752,152.752,147.852,6769700
9999,网易-S,2020-8-26,155.252,158.352,158.852,154.152,8465230
9999,网易-S,2020-8-27,158.512,156.812,158.512,153.212,5953020
9999,网易-S,2020-8-28,156.112,153.812,156.312,153.712,3853670
9999,网易-S,2020-8-31,155.712,152.312,155.712,152.112,3211160
9999,网易-S,2020-9-1,148.612,149.712,150.112,148.112,5778120
9999,网易-S,2020-9-2,150.312,150.412,151.012,147.012,5218010
9999,网易-S,2020-9-3,150.412,150.112,151.312,148.812,2820050
9999,网易-S,2020-9-4,145.512,146.112,147.312,143.012,5321670
9999,网易-S,2020-9-7,145.212,142.912,147.812,142.712,2785470
9999,网易-S,2020-9-8,142.712,142.812,145.712,141.312,2953140
9999,网易-S,2020-9-9,139.712,139.512,140.312,137.512,3734630
9999,网易-S,2020-9-10,143.712,140.912,143.712,140.112,1997970
9999,网易-S,2020-9-11,140.712,140.312,141.912,139.012,2628040
9999,网易-S,2020-9-14,140.612,140.912,141.612,139.312,3229770
9999,网易-S,2020-9-15,140.712,142.712,143.412,138.512,2865990
9999,网易-S,2020-9-16,144.712,146.412,147.112,144.712,2999830
9999,网易-S,2020-9-17,145.112,142.812,145.112,141.412,4045590
9999,网易-S,2020-9-18,144.112,144.412,144.412,142.212,2215640
9999,网易-S,2020-9-21,143.912,142.712,144.112,142.112,5369680
9999,网易-S,2020-9-22,145.312,145.612,147.412,144.512,4853820
9999,网易-S,2020-9-23,146.712,146.112,147.712,145.512,2075530
9999,网易-S,2020-9-24,144.712,143.612,144.712,141.812,3835440
9999,网易-S,2020-9-25,142.112,143.012,144.512,142.112,1923690
9999,网易-S,2020-9-28,142.212,140.712,142.412,137.712,5593200
9999,网易-S,2020-9-29,140.812,140.212,141.212,139.212,1831410
9999,网易-S,2020-9-30,137.712,134.612,138.012,133.712,6973500
